testGroup,avg(id),avg(wkAvg76Pre),avg(wkAvg76Post),avg(wkAvg67Pre),avg(wkAvg67Post),avg(wkAvg78Pre),avg(wkAvg78Post),avg(wkAvg89Pre),avg(wkAvg89Post)
7A,290.4,12023.99238095238,11874.200854700855,937.6785714285712,1028.8495726495726,562.3190476190476,616.4196581196582,503.06190476190477,550.7264957264957
7B,244.7,11125.353571428572,11172.015384615386,885.5714285714283,977.1017094017094,536.6309523809524,591.7042735042735,492.1261904761904,541.7504273504273
8A,216.63333333333333,10608.543333333335,10589.231623931622,847.7666666666665,927.9606837606838,513.597619047619,561.9897435897435,462.9095238095238,506.6547008547008
8B,308.6666666666667,10412.895952380952,10501.364957264957,836.3690476190477,918.8606837606836,505.552380952381,555.4760683760684,454.36904761904765,499.28119658119664
Control,234.36363636363637,10451.738705234158,10695.869251960168,850.1684376229825,932.3369357914812,511.5367965367966,560.9794447976268,455.87190082644645,499.9943490852582
