testGroup,avg(id),avg(76Diff),avg(67Diff),avg(78Diff),avg(89Diff)
7A,290.4,-149.79152625152616,91.17100122100122,54.10061050061049,47.66459096459098
7B,244.7,46.66181318681291,91.53028083028082,55.073321123321115,49.62423687423687
8A,216.63333333333333,-19.31170940170923,80.19401709401706,48.392124542124535,43.745177045177044
8B,308.6666666666667,88.46900488400502,82.49163614163612,49.92368742368742,44.912148962148976
Control,234.36363636363637,244.1305467260013,82.16849816849818,49.44264826083008,44.1224482588119
